date,value,cash,holdings_value
2023-10-04 00:00:00-04:00,998664.104840985,-23.778282931532736,998687.8831239166
2023-10-05 00:00:00-04:00,1001980.0691341036,-47.63551927368621,1002027.7046533773
2023-10-06 00:00:00-04:00,1003617.7568397359,-71.531749108676,1003689.2885888446
2023-10-09 00:00:00-04:00,1001720.4940765062,-95.38280494516034,1001815.8768814513
2023-10-10 00:00:00-04:00,1000625.1384440432,-119.20778026466898,1000744.3462243079
2023-10-11 00:00:00-04:00,1000483.0065984539,-143.02937141204043,1000626.0359698659
2023-10-12 00:00:00-04:00,1005046.1042077916,-166.9596103274382,1005213.0638181191
2023-10-13 00:00:00-04:00,1012395.8276066616,-191.06484682370387,1012586.8924534853
2023-10-16 00:00:00-04:00,1008809.1941445984,-215.08468525187118,1009024.2788298503
2023-10-17 00:00:00-04:00,1013011.1817968099,-239.20457338722701,1013250.3863701972
2023-10-18 00:00:00-04:00,1015341.7605269294,-263.3799528135688,1015605.140479743
2023-10-19 00:00:00-04:00,1022933.723263632,-287.7360975613874,1023221.4593611935
2023-10-20 00:00:00-04:00,1019555.5244186104,-312.0118070882478,1019867.5362256987
2023-10-23 00:00:00-04:00,1013500.7192141304,-336.1433511539191,1013836.8625652844
2023-10-24 00:00:00-04:00,1008028.9988815684,-360.14461306209716,1008389.1434946306
2023-10-25 00:00:00-04:00,1014141.5235015968,-384.2914147359846,1014525.8149163327
2023-10-26 00:00:00-04:00,1012186.1115102769,-408.3916578729706,1012594.5031681499
2023-10-27 00:00:00-04:00,1015741.7026527346,-432.57655995760916,1016174.2792126922
2023-10-30 00:00:00-04:00,1010041.4350673737,-456.6257381539323,1010498.0608055276
2023-10-31 00:00:00-04:00,1006732.1965024167,-480.5961230798214,1007212.7926254965
2023-11-01 00:00:00-04:00,1002177.9101473908,-23.86194695459453,1002201.7720943454
2023-11-02 00:00:00-04:00,1010174.5990257466,-47.914295796846645,1010222.5133215435
2023-11-03 00:00:00-04:00,1017408.8628336894,-72.13889311663257,1017481.001726806
2023-11-06 00:00:00-05:00,1015005.7358232021,-96.30627176429567,1015102.0420949664
2023-11-07 00:00:00-05:00,1013543.9521223895,-120.43884520943459,1013664.3909675989
2023-11-08 00:00:00-05:00,1010978.4639236873,-144.51033414783043,1011122.9742578352
2023-11-09 00:00:00-05:00,1006404.2808775395,-168.47291137294388,1006572.7537889124
2023-11-10 00:00:00-05:00,1010479.0073036856,-192.53250820390858,1010671.5398118895
2023-11-13 00:00:00-05:00,1011198.8914617394,-216.60924554198186,1011415.5007072814
2023-11-14 00:00:00-05:00,1023096.7054238861,-240.96927090982123,1023337.6746947959
2023-11-15 00:00:00-05:00,1020731.2954427197,-265.2729756514275,1020996.5684183711
2023-11-16 00:00:00-05:00,1023052.3489408741,-289.6319448873825,1023341.9808857614
2023-11-17 00:00:00-05:00,1025137.404952732,-314.0405594961287,1025451.4455122282
2023-11-20 00:00:00-05:00,1027661.8514297528,-338.5092814045016,1028000.3607111573
2023-11-21 00:00:00-05:00,1028379.7732777364,-362.9950970972023,1028742.7683748336
2023-11-22 00:00:00-05:00,1029578.304657562,-387.50944993078315,1029965.8141074928
2023-11-24 00:00:00-05:00,1030701.3629609353,-412.05054288444717,1031113.4135038197
2023-11-27 00:00:00-05:00,1031701.4922698104,-436.6154490076837,1032138.1077188181
2023-11-28 00:00:00-05:00,1033735.3086906428,-461.22878048440083,1034196.5374711272
2023-11-29 00:00:00-05:00,1034252.9197677396,-485.8544363278195,1034738.7742040674
2023-11-30 00:00:00-05:00,1035486.1262632466,-510.50945492976825,1035996.6357181764
2023-12-01 00:00:00-05:00,1037185.527039945,-24.695481488641942,1037210.2225214336
2023-12-04 00:00:00-05:00,1033459.5427628607,-49.30224695360208,1033508.8450098142
2023-12-05 00:00:00-05:00,1027751.2867380612,-73.77309832477904,1027825.059836386
2023-12-06 00:00:00-05:00,1027326.4392218589,-98.23383403805457,1027424.6730558969
2023-12-07 00:00:00-05:00,1030048.3542380906,-122.75937879478903,1030171.1136168854
2023-12-08 00:00:00-05:00,1029160.9566098325,-147.2637945334931,1029308.2204043659
