cagr,log_cagr,vol,sharpe,sortino,max_dd,config,window,num_positions,tau,regime,weighting,n_days,turnover,test
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,baseline_prior,full,30,1.0,off,exponential,3875,0.31760059719692085,t1
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,baseline_prior,5y,30,1.0,off,exponential,1254,0.31760059719692085,t1
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,baseline_prior,3y,30,1.0,off,exponential,751,0.31760059719692085,t1
0.13046704428239253,0.12288318947040269,0.20271309556402842,0.5110725237327988,0.6207293094777944,-0.36942530384253847,2a_momentum-0.10,full,30,1.0,off,exponential,3875,0.3183055863008123,t2
0.12459596672126283,0.11790491017928195,0.18181929822219253,0.5198209639767162,0.6936228222560905,-0.19059200627596973,2a_momentum-0.10,5y,30,1.0,off,exponential,1254,0.3183055863008123,t2
0.1933951122017088,0.17785757253694026,0.15220042774127773,0.9823716245014072,1.306974925183557,-0.1282986472143861,2a_momentum-0.10,3y,30,1.0,off,exponential,751,0.3183055863008123,t2
0.13044719346569433,0.12286559334760437,0.2028079953698368,0.5108416635337046,0.6207674866831006,-0.36942530384253847,2a_momentum-0.05,full,30,1.0,off,exponential,3875,0.3177334988523408,t2
0.12453506910844014,0.1178505361953557,0.1821462084109646,0.5189165137492067,0.6930005801981457,-0.19059200627596973,2a_momentum-0.05,5y,30,1.0,off,exponential,1254,0.3177334988523408,t2
0.19328740892599705,0.17776678029214193,0.15285204961466167,0.9782404114082184,1.3028904972070046,-0.13213279852680593,2a_momentum-0.05,3y,30,1.0,off,exponential,751,0.3177334988523408,t2
0.1304317280565328,0.12285188431518966,0.20289393096757052,0.5106447181000809,0.620760359680135,-0.36942530384253847,2a_momentum+0.05,full,30,1.0,off,exponential,3875,0.31720834729250513,t2
0.12448762643351996,0.11780817375468029,0.18244186652068367,0.5181423195013932,0.692808361430311,-0.19059200627596973,2a_momentum+0.05,5y,30,1.0,off,exponential,1254,0.31720834729250513,t2
0.1932035046944618,0.17769604460558142,0.15343997868267992,0.9746246386931439,1.2997210010013078,-0.13290120728829002,2a_momentum+0.05,3y,30,1.0,off,exponential,751,0.31720834729250513,t2
0.1306122030875292,0.1230118514695186,0.20294615932524832,0.5113539830428169,0.621736589210003,-0.36942530384253847,2a_momentum+0.10,full,30,1.0,off,exponential,3875,0.3172192570414854,t2
0.12504134734845684,0.11830249012072859,0.18262148394740899,0.5205196137120278,0.696854969266112,-0.19059200627596973,2a_momentum+0.10,5y,30,1.0,off,exponential,1254,0.3172192570414854,t2
0.19418292880813848,0.17852144104103357,0.1537952842338094,0.9780970195375723,1.3068431985973308,-0.13305715164212928,2a_momentum+0.10,3y,30,1.0,off,exponential,751,0.3172192570414854,t2
0.1304218232923049,0.1228431043174443,0.20287635026020845,0.5106275763234885,0.6206204570618734,-0.36942530384253847,2a_quality-0.10,full,30,1.0,off,exponential,3875,0.3179441920962057,t2
0.1244572426579289,0.11778104258142404,0.18238140246108497,0.5181030674959604,0.6924687781280966,-0.19059200627596973,2a_quality-0.10,5y,30,1.0,off,exponential,1254,0.3179441920962057,t2
0.19314977103518016,0.1776507416877873,0.1533199348472944,0.9749685713078733,1.2993857506915445,-0.13326491675422047,2a_quality-0.10,3y,30,1.0,off,exponential,751,0.3179441920962057,t2
0.13041141119720612,0.12283387451742969,0.20288967431945776,0.5105618316671301,0.6205275806207026,-0.36942530384253847,2a_quality-0.05,full,30,1.0,off,exponential,3875,0.31770453173161095,t2
0.12442530319632294,0.11775252146893876,0.1824272185196681,0.5178622471558991,0.6922627008260097,-0.19059200627596973,2a_quality-0.05,5y,30,1.0,off,exponential,1254,0.31770453173161095,t2
0.19309328719118413,0.17760311788611416,0.15341101927263368,0.9741698991901209,1.2982939561233893,-0.13322356146894854,2a_quality-0.05,3y,30,1.0,off,exponential,751,0.31770453173161095,t2
0.13026919089417222,0.12270779484082737,0.2028631572975074,0.5099798658927459,0.6198983671864567,-0.36942530384253847,2a_quality+0.05,full,30,1.0,off,exponential,3875,0.3174420139907323,t2
0.12398909887325305,0.11736292119235661,0.18233593888347172,0.5158912576885554,0.689644240968075,-0.19059200627596973,2a_quality+0.05,5y,30,1.0,off,exponential,1254,0.3174420139907323,t2
0.19232198184484361,0.17695257361602892,0.1532305816971739,0.9708856934492943,1.2947933107062153,-0.1336050506185683,2a_quality+0.05,3y,30,1.0,off,exponential,751,0.3174420139907323,t2
0.13028733369356016,0.12272387949105464,0.20285975751040863,0.510064362421195,0.6198187701191233,-0.36942530384253847,2a_quality+0.10,full,30,1.0,off,exponential,3875,0.3173184605434461,t2
0.12404473834413632,0.11741262455729334,0.18232425357206142,0.5161854482691175,0.6900663014965811,-0.19059200627596973,2a_quality+0.10,5y,30,1.0,off,exponential,1254,0.3173184605434461,t2
0.19242035358603116,0.1770355669843787,0.15320723744505055,0.9715525161837679,1.2951196026890397,-0.1335303519962251,2a_quality+0.10,3y,30,1.0,off,exponential,751,0.3173184605434461,t2
0.13069668638383458,0.12308672592110657,0.2029252677177843,0.5117549799735982,0.6221164153741273,-0.36942530384253847,2a_volatility-0.10,full,30,1.0,off,exponential,3875,0.31653035895099424,t2
0.12530061641113588,0.11853386053532466,0.18254973363720814,0.5219207967507378,0.6984923998344628,-0.19059200627596973,2a_volatility-0.10,5y,30,1.0,off,exponential,1254,0.31653035895099424,t2
0.19464163561124104,0.1789077772592805,0.15365238482350693,0.9813804814000088,1.3103145357075112,-0.1322736007348585,2a_volatility-0.10,3y,30,1.0,off,exponential,751,0.31653035895099424,t2
0.1305630407896754,0.12296827815012776,0.20289462188440416,0.5112173405630787,0.6214092963428107,-0.36942530384253847,2a_volatility-0.05,full,30,1.0,off,exponential,3875,0.3172528043924914,t2
0.12489049275709196,0.118167843699166,0.18244431232820865,0.5201091572588294,0.6956695261313754,-0.19059200627596973,2a_volatility-0.05,5y,30,1.0,off,exponential,1254,0.3172528043924914,t2
0.19391606465221467,0.17829661199624064,0.1534439785711173,0.9785178935263967,1.3055858870424133,-0.13318285225178916,2a_volatility-0.05,3y,30,1.0,off,exponential,751,0.3172528043924914,t2
0.1303665291665228,0.12279408787551349,0.20281960155300954,0.510471449698751,0.6202670157171748,-0.36942530384253847,2a_volatility+0.05,full,30,1.0,off,exponential,3875,0.31812377461202784,t2
0.12428763303250734,0.11762957630352783,0.18218611676065355,0.5176298398709261,0.6912228631110088,-0.19059200627596973,2a_volatility+0.05,5y,30,1.0,off,exponential,1254,0.31812377461202784,t2
0.1928498344628906,0.17739782729034145,0.15293199857924886,0.9753956940632025,1.2985376380848381,-0.1324284480478377,2a_volatility+0.05,3y,30,1.0,off,exponential,751,0.31812377461202784,t2
0.13030793084515602,0.12274213975478473,0.20273084335550798,0.5103495704828586,0.6199387961877347,-0.36942530384253847,2a_volatility+0.10,full,30,1.0,off,exponential,3875,0.31829106115971134,t2
0.12410790696096385,0.11746905081084526,0.18188038288703465,0.517310377188615,0.6904104411064763,-0.19059200627596973,2a_volatility+0.10,5y,30,1.0,off,exponential,1254,0.31829106115971134,t2
0.1925320409486948,0.17712978605489016,0.15232332663005385,0.9769215414718928,1.300033515212973,-0.12920232958240674,2a_volatility+0.10,3y,30,1.0,off,exponential,751,0.31829106115971134,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,2a_value-0.10,full,30,1.0,off,exponential,3875,0.31760059719692085,t2
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,2a_value-0.10,5y,30,1.0,off,exponential,1254,0.31760059719692085,t2
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,2a_value-0.10,3y,30,1.0,off,exponential,751,0.31760059719692085,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,2a_value-0.05,full,30,1.0,off,exponential,3875,0.31760059719692085,t2
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,2a_value-0.05,5y,30,1.0,off,exponential,1254,0.31760059719692085,t2
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,2a_value-0.05,3y,30,1.0,off,exponential,751,0.31760059719692085,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,2a_value+0.05,full,30,1.0,off,exponential,3875,0.31760059719692085,t2
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,2a_value+0.05,5y,30,1.0,off,exponential,1254,0.31760059719692085,t2
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,2a_value+0.05,3y,30,1.0,off,exponential,751,0.31760059719692085,t2
0.13041103414997224,0.12283354028237518,0.2028808899336557,0.5105732208961885,0.6206682766278144,-0.36942530384253847,2a_value+0.10,full,30,1.0,off,exponential,3875,0.31760059719692085,t2
0.12442414660240275,0.11775148864530538,0.1823970095447554,0.5179111800359257,0.6925306753189869,-0.19059200627596973,2a_value+0.10,5y,30,1.0,off,exponential,1254,0.31760059719692085,t2
0.19309124181451365,0.1776013933044414,0.15335101360998357,0.9744779291544208,1.300110209341629,-0.13388524145577008,2a_value+0.10,3y,30,1.0,off,exponential,751,0.31760059719692085,t2
0.13698070049265265,0.12864039102614447,0.20555537857209583,0.5348622790049785,0.6521563652108128,-0.36942530384253847,2b_momentum_70,full,30,1.0,off,exponential,3875,0.3154828953296726,t2
0.14469890461508794,0.135695305736299,0.19143245860241082,0.596101683948617,0.8006561421895204,-0.19059200627596973,2b_momentum_70,5y,30,1.0,off,exponential,1254,0.3154828953296726,t2
0.22916116617905713,0.20756350599699266,0.170714747159901,1.0675380636989347,1.4118587623692287,-0.16046614228056488,2b_momentum_70,3y,30,1.0,off,exponential,751,0.3154828953296726,t2
0.1283391394694744,0.12099521528815374,0.2007154856971494,0.5047227895520348,0.61121210872265,-0.36942530384253847,2b_quality_70,full,30,1.0,off,exponential,3875,0.31535192206819845,t2
0.11808073260042629,0.11207085917751583,0.17483125204548758,0.5000272999191756,0.6639848896762143,-0.19059200627596973,2b_quality_70,5y,30,1.0,off,exponential,1254,0.31535192206819845,t2
