config,window,risk_aversion,axioma_penalty,shrinkage_strength,n_resample,cagr,log_cagr,vol,sharpe,sortino,max_dd
mvo_r0.50_a0.001_s0.50_n0,3y,0.5,0.001,0.5,0,0.17057034979672592,0.1584311366785779,0.1584254333798269,0.8272623004882432,1.07893778392643,-0.12544551967730877
mvo_r0.50_a0.001_s0.50_n0,full,0.5,0.001,0.5,0,0.1258330173467166,0.11876709813636913,0.20957569558673345,0.48152417730704217,0.5813899355004046,-0.3861582358050397
mvo_r0.50_a0.001_s0.50_n0,5y,0.5,0.001,0.5,0,0.12606577033793087,0.1192163693968919,0.18678780661593578,0.5179516045988383,0.6878319654194581,-0.19805216595792352
mvo_r0.50_a0.001_s0.20_n0,full,0.5,0.001,0.2,0,0.12708833117766427,0.11988377886737854,0.20927272178655906,0.4872546480562171,0.5884318772175794,-0.3860368243446255
mvo_r0.50_a0.001_s0.20_n0,5y,0.5,0.001,0.2,0,0.12596555685204347,0.1191270064697275,0.18681824515276554,0.5174187885401715,0.6872168967511096,-0.1980521659579233
mvo_r0.50_a0.001_s0.20_n0,3y,0.5,0.001,0.2,0,0.17033570109951768,0.1582294632607217,0.15844743461226568,0.8258951663487658,1.0778015205772764,-0.12544551967730966
mvo_r0.50_a0.001_s0.80_n0,full,0.5,0.001,0.8,0,0.1256789757427461,0.11862998266472026,0.20979759296225306,0.4805841272367541,0.5804417539477501,-0.3860368243446255
mvo_r0.50_a0.010_s0.20_n0,full,0.5,0.01,0.2,0,0.1253994383035162,0.1183811129471662,0.21083565497239087,0.4780839266665926,0.577685309486488,-0.38572769613193614
mvo_r0.50_a0.010_s0.20_n0,5y,0.5,0.01,0.2,0,0.12832913487345454,0.12123255403984096,0.18822133481474096,0.5261595934137668,0.6994030825170904,-0.19803627675124136
mvo_r0.50_a0.001_s0.80_n0,5y,0.5,0.001,0.8,0,0.1262471602915476,0.1193780992323422,0.1868174254173229,0.5187657682247989,0.6889141535946021,-0.19805216595792396
mvo_r0.50_a0.001_s0.80_n0,3y,0.5,0.001,0.8,0,0.17057034979672725,0.15843113667857858,0.15842543337982684,0.8272623004882481,1.0789377839264358,-0.1254455196773091
mvo_r0.50_a0.010_s0.20_n0,3y,0.5,0.01,0.2,0,0.17027912775027665,0.15818083413827447,0.1591794577029415,0.8225174723975646,1.0768202669563545,-0.12569506864991675
mvo_r0.50_a0.010_s0.50_n0,full,0.5,0.01,0.5,0,0.12629560219869318,0.11917874130959828,0.21048271079680214,0.4823170931795067,0.5831801337858045,-0.3860368243446257
mvo_r0.50_a0.010_s0.80_n0,full,0.5,0.01,0.8,0,0.12194093663851824,0.1152969155135064,0.2070704781799403,0.4680763547904197,0.5624145045381357,-0.3860368243446254
mvo_r0.50_a0.010_s0.50_n0,5y,0.5,0.01,0.5,0,0.12833676757275758,0.12123934633469727,0.1882144481872916,0.5262081480748367,0.6993804918273845,-0.19804760734984528
mvo_r0.50_a0.010_s0.50_n0,3y,0.5,0.01,0.5,0,0.17031408388018754,0.1582108818841483,0.15916062842102346,0.8227849769660227,1.076903135619573,-0.12569506864991675
mvo_r0.50_a0.010_s0.80_n0,3y,0.5,0.01,0.8,0,0.17402224776060127,0.16139327522767902,0.1585444974549566,0.8454555083416173,1.1007121665602544,-0.12569506864991664
mvo_r0.50_a0.010_s0.80_n0,5y,0.5,0.01,0.8,0,0.12964855529164598,0.1224060166263164,0.18599951024772265,0.5365125341886022,0.7112819951254545,-0.1957894192928853
mvo_r0.50_a0.050_s0.20_n0,3y,0.5,0.05,0.2,0,0.17832554172709036,0.16507383996937758,0.1583147068177626,0.8697144531159947,1.1328751754260153,-0.12569506864991653
mvo_r0.50_a0.050_s0.20_n0,full,0.5,0.05,0.2,0,0.11875581913874345,0.1124480932209528,0.2066397441499323,0.4548358856290892,0.5452932563040915,-0.3842809551634856
mvo_r0.50_a0.050_s0.20_n0,5y,0.5,0.05,0.2,0,0.12828522462724923,0.12119347767380859,0.18483559885969755,0.532170091349835,0.7037648775955277,-0.1957921102300456
mvo_r0.50_a0.050_s0.50_n0,full,0.5,0.05,0.5,0,0.11746516497738235,0.11129140074785172,0.19920927557627266,0.45839834628099857,0.5441899975350859,-0.38410758072715556
mvo_r0.50_a0.050_s0.50_n0,5y,0.5,0.05,0.5,0,0.14345752299794023,0.13460581062617563,0.16835314904256787,0.6465886881061952,0.871611626109208,-0.13968210952687898
mvo_r0.50_a0.050_s0.50_n0,3y,0.5,0.05,0.5,0,0.18725590945784565,0.17266919350409363,0.14979876899801736,0.9610400236964315,1.288428168288447,-0.12544551967730921
mvo_r0.50_a0.050_s0.80_n0,full,0.5,0.05,0.8,0,0.11414826950346257,0.10831263856178006,0.1834495572338618,0.4648195002754922,0.5560983528706969,-0.3496262871999023
mvo_r0.50_a0.050_s0.80_n0,5y,0.5,0.05,0.8,0,0.13390729006403568,0.12618430878198858,0.15930288397776707,0.6211202267670498,0.8206745309052536,-0.12931117547585413
mvo_r0.50_a0.050_s0.80_n0,3y,0.5,0.05,0.8,0,0.18789140748345878,0.1732075105826189,0.14631320802384143,0.9840842818522083,1.3045295542278001,-0.12544551967730944
mvo_r0.50_a0.100_s0.20_n0,full,0.5,0.1,0.2,0,0.11821246974157762,0.11196130275444877,0.19687141438081307,0.4648570721154928,0.5540720304603707,-0.38410758072715523
mvo_r0.50_a0.100_s0.20_n0,5y,0.5,0.1,0.2,0,0.14491010352170997,0.13588054625388604,0.16693985577446438,0.6582750030494523,0.8871355604227389,-0.13931768344860695
mvo_r0.50_a0.100_s0.20_n0,3y,0.5,0.1,0.2,0,0.18821977559318892,0.1734855514991198,0.14927491796736506,0.9693556836788191,1.3010673326562698,-0.125445519677309
mvo_r0.50_a0.100_s0.50_n0,full,0.5,0.1,0.5,0,0.11007242840046327,0.1046401322852687,0.19086782529232646,0.43497120067464323,0.515799475620419,-0.3820948876819251
mvo_r0.50_a0.100_s0.50_n0,5y,0.5,0.1,0.5,0,0.1341491675818305,0.12639847318545558,0.16246808435348478,0.6134664326233028,0.8191691495518609,-0.13844372323265408
mvo_r0.50_a0.100_s0.80_n0,full,0.5,0.1,0.8,0,0.11075655617345981,0.10525750127626704,0.17678854891523582,0.4582957799324836,0.5388736329548346,-0.3480915821450459
mvo_r0.50_a0.100_s0.80_n0,5y,0.5,0.1,0.8,0,0.09458304212938873,0.0907437631719905,0.1572111104555628,0.4019779058820099,0.5021883645569506,-0.20018395643873954
mvo_r0.50_a0.100_s0.50_n0,3y,0.5,0.1,0.5,0,0.1882129365553351,0.1734797614269145,0.14739082650456617,0.9797962431436167,1.3119974493990885,-0.12544551967730944
mvo_r0.50_a0.100_s0.80_n0,3y,0.5,0.1,0.8,0,0.1685664703267542,0.156707560151334,0.14163599960201928,0.8952481024195177,1.179962918651202,-0.1271642195116971
mvo_r1.00_a0.001_s0.20_n0,full,1.0,0.001,0.2,0,0.13052691841815411,0.12293626111537342,0.20895631137867016,0.502288319449475,0.6058190247171877,-0.38603682434462516
mvo_r1.00_a0.001_s0.20_n0,5y,1.0,0.001,0.2,0,0.13210987035129307,0.12459139583859938,0.18571472360609992,0.5488198601875038,0.7278592848350798,-0.1980424803636357
mvo_r1.00_a0.001_s0.50_n0,full,1.0,0.001,0.5,0,0.1302999907473399,0.12273510055483994,0.20908326320654816,0.5011488743433093,0.6044653666255666,-0.3860368243446256
mvo_r1.00_a0.001_s0.20_n0,3y,1.0,0.001,0.2,0,0.17961114063928174,0.16617079265187631,0.15778237593490083,0.8790675455428316,1.147408734379487,-0.12544551967730933
mvo_r1.00_a0.001_s0.50_n0,5y,1.0,0.001,0.5,0,0.1322280017259172,0.1246961640842666,0.18575780144324833,0.5493013016694701,0.7282644612924707,-0.1980424803636356
