,0
SCHX,0.15000000000000002
IWB,0.15000000000000002
BBUS,0.15000000000000002
VSS,0.15000000000000002
SCHB,0.15000000000000002
SUSL,0.15000000000000002
DIM,0.09999999999999994
VSMGX,0.0
AOR,0.0
VOO,0.0
ACWI,0.0
SRLN,0.0
DGSIX,0.0
VEU,0.0
DEMZ,0.0
MTUM,0.0
SPLG,0.0
SPYG,0.0
ACWX,0.0
IVV,0.0
