,0
AVDV,0.15000000000000002
AVDE,0.15000000000000002
DTH,0.15000000000000002
DLS,0.15000000000000002
XLC,0.15000000000000002
VEU,0.15000000000000002
EWI,0.09999999999999994
INTF,0.0
IDV,0.0
IMOM,0.0
EWO,0.0
FFNOX,0.0
IWB,0.0
ACWX,0.0
DIM,0.0
EWU,0.0
ELD,0.0
GSY,0.0
SLQD,0.0
QQQ,0.0
